"country","points","price","province","title","variety","vintage"
"Italy",87,40,"Central Italy","Cataldi Madonna 2005 PiíÂ delle Vigne Cerasuolo RosíÂ  (Montepulciano d'Abruzzo)","Montepulciano",2005
"Italy",87,50,"Southern Italy","Nativ 2012 Eremo San Quirico Aglianico (Irpinia)","Aglianico",2012
"Italy",86,14,"Southern Italy","Torricino 2012  Greco di Tufo","Greco",2012
"Italy",83,22,"Tuscany","Vignaioli del Morellino di Scansano 2010 Riserva Roggiano  (Morellino di Scansano)","Red Blend",2010
"Italy",86,10,"Southern Italy","Cantina di Venosa 2005 Terre di Orazio Dry Muscat (Basilicata)","Muscat",2005
"Italy",92,36,"Tuscany","Fuligni 2005 S.J. (San Jacopo) Red (Toscana)","Red Blend",2005
"Italy",85,46,"Piedmont","Malviríæ 2007 Renesio Riserva  (Roero)","Nebbiolo",2007
"Italy",90,49,"Veneto","Cesari 2005 JíÂma Corvina (Veronese)","Corvina",2005
"Italy",87,17,"Northeastern Italy","Egger-Ramer 2013 Reiesegger St. Magdalener Classico Red (Alto Adige)","Red Blend",2013
"Italy",93,120,"Northeastern Italy","Gravner 2003 Anfora Ribolla Gialla (Venezia Giulia)","Ribolla Gialla",2003
"Italy",86,23,"Piedmont","La Scolca 2007 White Label  (Gavi)","Cortese",2007
"Italy",89,86,"Tuscany","Boscarelli 2006  Vino Nobile di Montepulciano","Prugnolo Gentile",2006
"Italy",85,22,"Tuscany","Cantalici L'Antica Fornace di Ridolfo 2012  Chianti Classico","Red Blend",2012
"Italy",88,20,"Northeastern Italy","Abbazia di Novacella 2014 Mí_ller-Thurgau (Alto Adige Valle Isarco)","Mí_ller-Thurgau",2014
"Italy",91,75,"Tuscany","Fattoria Scopone 2008  Brunello di Montalcino","Sangiovese Grosso",2008
"Italy",85,15,"Northeastern Italy","Monte del Fríç 2006 Corvina (Garda)","Corvina",2006
"Italy",91,55,"Piedmont","Marchesi di Barolo 2004  Barolo","Nebbiolo",2004
"Italy",86,18,"Veneto","Terre di San Venanzio Fortunato 2010 Extra Dry  (Conegliano Valdobbiadene Prosecco Superiore)","Glera",2010
"Italy",89,292,"Piedmont","Gianni Gagliardo 2005 Serre 10 Anni  (Barolo)","Nebbiolo",2005
"Italy",87,18,"Veneto","Foss Marai NV Strada di Guia 109 Brut  (Conegliano Valdobbiadene Prosecco Superiore)","Glera",109
"Italy",87,13,"Tuscany","Cala de' Poeti 2013  Maremma Toscana","Red Blend",2013
"Italy",84,16,"Veneto","Bertani 2009 Villa Novare  (Valpolicella Classico)","Corvina, Rondinella, Molinara",2009
"Italy",84,17,"Piedmont","Ca' Nova 2014 Bocciolo Nebbiolo (Colline Novaresi)","Nebbiolo",2014
"Italy",89,32,"Tuscany","Canneta 2006 Le Bruciate  (Brunello di Montalcino)","Sangiovese Grosso",2006
"Italy",92,55,"Northeastern Italy","Jací_ss 2007 Picolit (Colli Orientali del Friuli)","Picolit",2007
"Italy",91,30,"Southern Italy","Villa Raiano 2014 Contrada Marotta  (Greco di Tufo)","Greco",2014
"Italy",90,45,"Lombardy","Ronco Calino 2008 Brut Sparkling (Franciacorta)","Sparkling Blend",2008
"Italy",88,22,"Veneto","Corte Moschina 2014 I Tarai  (Soave)","Garganega",2014
"Italy",89,19,"Southern Italy","Fattoria La Rivolta 2012 Falanghina (Taburno)","Falanghina",2012
"Italy",86,32,"Veneto","Speri 2007 Vigneto Sant'Urbano  (Valpolicella Classico Superiore)","Corvina, Rondinella, Molinara",2007
"Italy",91,90,"Tuscany","Lisini 2004  Brunello di Montalcino","Sangiovese Grosso",2004
"Italy",91,33,"Lombardy","Selva Capuzza 2013 Selva  (Lugana)","Turbiana",2013
"Italy",89,27,"Northeastern Italy","Josef Weger 2006 Maso delle Rose Pinot Grigio (Alto Adige)","Pinot Grigio",2006
"Italy",87,24,"Veneto","Anna Spinato 2006 Rubioso Raboso (Marca Trevigiana)","Raboso",2006
"Italy",86,13,"Piedmont","Ricossa 2007 Antica Casa  (Barbera d'Asti)","Barbera",2007
"Italy",89,14,"Sicily & Sardinia","Sella & Mosca 2014 La Cala  (Vermentino di Sardegna)","Vermentino",2014
"Italy",95,170,"Tuscany","Il Palazzone 2010 Riserva  (Brunello di Montalcino)","Sangiovese",2010
"Italy",86,14,"Veneto","Tenuta Sant'Antonio 2010 NanfríÂ  (Valpolicella)","Corvina, Rondinella, Molinara",2010
"Italy",89,40,"Tuscany","Fietri 2009 Riserva  (Chianti Classico)","Red Blend",2009
"Italy",87,40,"Tuscany","Canneta 2009  Brunello di Montalcino","Sangiovese",2009
"Italy",87,20,"Piedmont","Montalbera 2008 La Briosa  (Barbera del Monferrato)","Barbera",2008
"Italy",88,22,"Northeastern Italy","Emilio Bulfon 2009 Cividíån White (Friuli Grave)","White Blend",2009
"Italy",85,20,"Sicily & Sardinia","Calabretta 2005  Etna","Carricante",2005
"Italy",87,15,"Piedmont","Collina San Ponzio 2016  Dolcetto d'Alba","Dolcetto",2016
"Italy",88,65,"Tuscany","Campo al Mare 2010 Campo al Mare  (Bolgheri)","Red Blend",2010
"Italy",91,40,"Sicily & Sardinia","Marco de Bartoli 2011 Grappoli del Grillo (Sicilia)","Grillo",2011
"Italy",84,11,"Central Italy","Cantina di Puianello 2012 Primabolla  (Lambrusco Reggiano)","Lambrusco",2012
"Italy",85,10,"Sicily & Sardinia","Vigneti Zanatta 2014 Orion  (Vermentino di Sardegna)","Vermentino",2014
"Italy",92,67,"Piedmont","Paolo Scavino 2012 Monvigliero  (Barolo)","Nebbiolo",2012
"Italy",88,29,"Lombardy","Olivini 2010 Brut Metodo Classico  (Lugana)","Turbiana",2010
"Italy",88,181,"Piedmont","Ceretto 2014 Asili  (Barbaresco)","Nebbiolo",2014
"Italy",96,27,"Tuscany","Isole e Olena 2010  Chianti Classico","Red Blend",2010
"Italy",87,18,"Central Italy","Tenuta Vitalonga 2010 Elcione Red (Umbria)","Red Blend",2010
"Italy",89,20,"Sicily & Sardinia","Hauner 2012 Rosso Red (Salina)","Red Blend",2012
"Italy",86,20,"Veneto","Carlo Boscaini 2007 La Preosa  (Valpolicella Classico Superiore Ripasso)","Corvina, Rondinella, Molinara",2007
"Italy",91,60,"Tuscany","Castello di Monsanto 2009 Il Poggio Riserva  (Chianti Classico)","Red Blend",2009
"Italy",87,16,"Northeastern Italy","St. Pauls 2009 Luziafeld Pinot Nero (Alto Adige)","Pinot Nero",2009
"Italy",86,17,"Veneto","Bianca Vigna 2010 Brut Millesimato  (Conegliano Valdobbiadene Prosecco Superiore)","Glera",2010
"Italy",91,45,"Tuscany","Tiezzi 2006 Vigna Soccorso  (Brunello di Montalcino)","Sangiovese Grosso",2006
"Italy",86,19,"Piedmont","CarlindePaolo 2014 Cursus Vitae  (Barbera d'Asti)","Barbera",2014
"Italy",87,25,"Tuscany","Villa Calcinaia 2012 Piegaia Riserva  (Chianti Classico)","Sangiovese",2012
"Italy",87,20,"Tuscany","Santa Lucia 2011 Tore del Moro  (Morellino di Scansano)","Sangiovese",2011
"Italy",90,125,"Tuscany","Mastrojanni 2012  Brunello di Montalcino","Sangiovese",2012
"Italy",90,54,"Tuscany","Caprili 1997  Brunello di Montalcino","Sangiovese",1997
"Italy",88,30,"Tuscany","Ceralti 2011 Lunarae White (Toscana)","White Blend",2011
"Italy",90,60,"Tuscany","Fornacelle 2009 Erminia Merlot (Toscana)","Merlot",2009
"Italy",87,52,"Piedmont","Pietro Rinaldi 2011 San Cristoforo  (Barbaresco)","Nebbiolo",2011
"Italy",87,15,"Northeastern Italy","Cembra 2014 Sauvignon (Trentino)","Sauvignon",2014
"Italy",92,58,"Sicily & Sardinia","Girolamo Russo 2012 San Lorenzo Rosso  (Etna)","Red Blend",2012
"Italy",88,50,"Central Italy","Arnaldo Caprai 2013 Collepiano  (Montefalco Sagrantino)","Sagrantino",2013
"Italy",88,47,"Veneto","Antica Corte 2010  Amarone della Valpolicella","Red Blend",2010
"Italy",87,50,"Veneto","Farina 2011  Amarone della Valpolicella Classico","Red Blend",2011
"Italy",86,14,"Tuscany","Carpineto 2012 Dogajolo Rosso Red (Toscana)","Red Blend",2012
"Italy",94,70,"Tuscany","Siro Pacenti 2006  Brunello di Montalcino","Sangiovese Grosso",2006
"Italy",83,8,"Central Italy","Spinelli 2008 Sangiovese (Terre di Chieti)","Sangiovese",2008
"Italy",88,20,"Tuscany","Piccini 2009 Riserva  (Chianti Classico)","Red Blend",2009
"Italy",91,45,"Northeastern Italy","Venica & Venica 2015 Ronco delle Mele Sauvignon (Collio)","Sauvignon",2015
"Italy",89,20,"Northwestern Italy","Cave du Vin Blanc de Morgex et de la Salle 2013 Tradizionale Blanc de Morgex et de La Salle Prií© Blanc (Valle d'Aosta)","Prií© Blanc",2013
"Italy",90,50,"Tuscany","Russo 2005 Sassobucato Red (Toscana)","Red Blend",2005
"Italy",86,15,"Southern Italy","La Casa Dell'Orco 2008 Aglianico (Irpinia)","Aglianico",2008
"Italy",94,69,"Piedmont","Rizzi 2014 PajoríÂ  (Barbaresco)","Nebbiolo",2014
"Italy",86,15,"Piedmont","Renato Ratti 2004 Colombí©  (Dolcetto d'Alba)","Dolcetto",2004
"Italy",87,15,"Tuscany","Rocca di Montemassi 2011 Astraio Viognier (Maremma Toscana)","Viognier",2011
"Italy",92,80,"Tuscany","Ruffino 2005 Romitorio di Santedame Red (Toscana)","Red Blend",2005
"Italy",87,36,"Piedmont","Marchesi di Barolo 2013 Peiregal  (Barbera d'Alba)","Barbera",2013
"Italy",87,48,"Piedmont","Mario Gagliasso 2011 Torriglione  (Barolo)","Nebbiolo",2011
"Italy",90,25,"Tuscany","Castello Vicchiomaggio 2013 Agostino Petri  (Chianti Classico)","Red Blend",2013
"Italy",92,60,"Sicily & Sardinia","Biondi 2012 San Nicolí_  (Etna)","Nerello Mascalese",2012
"Italy",88,30,"Central Italy","Tenuta Vitalonga 2010 Terra di Confine Red (Umbria)","Red Blend",2010
"Italy",94,60,"Piedmont","Albino Rocca 2013 Ovello  (Barbaresco)","Nebbiolo",2013
"Italy",85,18,"Veneto","Sartori 2016  Bardolino Chiaretto","Red Blend",2016
"Italy",86,17,"Piedmont","Tenute Cisa Asinari dei Marchesi di Gresy 2005 Monte Aribaldo  (Dolcetto d'Alba)","Dolcetto",2005
"Italy",87,21,"Northeastern Italy","Bortoluzzi 2007 Friulano (Collio)","Friulano",2007
"Italy",88,20,"Tuscany","Fabio Motta 2012 Pievi  (Bolgheri)","Red Blend",2012
"Italy",88,50,"Tuscany","Castello di Monsanto 1998 Il Poggio Riserva  (Chianti Classico)","Sangiovese Grosso",1998
"Italy",92,45,"Tuscany","Gualdo del Re 2004 I'Rennero Merlot (Val di Cornia Suvereto)","Merlot",2004
"Italy",88,16,"Tuscany","Castellare di Castellina 2010  Chianti Classico","Sangiovese",2010
"Italy",92,56,"Tuscany","Caccia al Piano 1868 2008 Levia Gravia  (Bolgheri Superiore)","Red Blend",1868
"Italy",87,80,"Veneto","Domíåni Veneti 2008 Monte  (Amarone della Valpolicella Classico)","Red Blend",2008
"Italy",89,48,"Northeastern Italy","Cantina Produttori San Michele Appiano 2011 Sanct Valentin Pinot Nero (Alto Adige)","Pinot Nero",2011
"Italy",89,45,"Sicily & Sardinia","Donnafugata 2009 Tancredi Red (Sicilia)","Red Blend",2009
"Italy",90,25,"Tuscany","Tenuta di Riseccoli 2011  Chianti Classico","Red Blend",2011
"Italy",90,22,"Veneto","Bortolomiol 2010 Bandarossa Extra Dry  (Conegliano Valdobbiadene Prosecco Superiore)","Glera",2010
"Italy",90,53,"Piedmont","Agostino Bosco 2011 Neirane  (Barolo)","Nebbiolo",2011
"Italy",91,34,"Veneto","Graziano Merotto 2014 Cuví©e del Fondatore Rive Col San Martino  (Valdobbiadene Prosecco Superiore)","Glera",2014
"Italy",91,40,"Sicily & Sardinia","Feudo Montoni 2007 Vrucara Nero d'Avola (Sicilia)","Nero d'Avola",2007
"Italy",86,21,"Southern Italy","Feudi di San Gregorio 2009  Primitivo di Manduria","Primitivo",2009
"Italy",88,16,"Sicily & Sardinia","Cottanera 2007 Barbazzale Nerello Mascalese (Sicilia)","Nerello Mascalese",2007
"Italy",85,15,"Central Italy","Cleto Chiarli 2012 Vigneto Enrico Cialdini  (Lambrusco Grasparossa di Castelvetro)","Lambrusco",2012
"Italy",93,31,"Veneto","Pieropan 2012 Calvarino  (Soave Classico)","White Blend",2012
"Italy",90,65,"Piedmont","Gianni Gagliardo 2004 Serre  (Barolo)","Nebbiolo",2004
"Italy",89,59,"Piedmont","Oddero 2004 Villero  (Barolo)","Nebbiolo",2004
"Italy",89,25,"Tuscany","Castello San Donato in Perano 2010  Chianti Classico","Sangiovese",2010
"Italy",88,19,"Northeastern Italy","Andriano 2011 Pinot Bianco (Alto Adige)","Pinot Bianco",2011
"Italy",90,56,"Tuscany","Volpaia 2006 Coltassala Riserva  (Chianti Classico)","Sangiovese",2006
"Italy",87,10,"Sicily & Sardinia","Stemmari 2015 Pinot Nero (Sicilia)","Pinot Nero",2015
"Italy",87,22,"Northeastern Italy","Kellerei Kaltern Caldaro 2011 Gewí_rztraminer (Alto Adige)","Gewí_rztraminer",2011
"Italy",92,70,"Piedmont","Rizzi 2010 Boito Riserva  (Barbaresco)","Nebbiolo",2010
"Italy",88,40,"Veneto","Sartori 2008  Amarone della Valpolicella","Corvina, Rondinella, Molinara",2008
"Italy",93,29,"Sicily & Sardinia","Curto 2010 Fontanelle Nero d'Avola (Eloro)","Nero d'Avola",2010
"Italy",86,33,"Tuscany","Le Bertille 2013  Vino Nobile di Montepulciano","Red Blend",2013
"Italy",87,19,"Southern Italy","Statti 2014 Gaglioppo (Calabria)","Gaglioppo",2014
"Italy",94,130,"Northeastern Italy","Ferrari 2004 Giulio Ferrari Riserva del Fondatore Chardonnay (Trento)","Chardonnay",2004
