Country,Points,Price,Province,Title,Variety,Type,Red,White,CommonWines,NonCommonWine,NorthAmerica,SouthAmerica,Europe,Other,Vintage
Argentina,91,65,Mendoza Province,Altocedro 2012 Gran Reserva Malbec (La Consulta),Malbec,Red,1,0,0,1,0,1,0,0,2012
Argentina,85,15,Mendoza Province,Alberti 154 2011 Malbec (Mendoza),Malbec,Red,1,0,0,1,0,1,0,0,154
Argentina,90,21,Mendoza Province,Finca Decero 2013 Remolinos Vineyard Agrelo Cabernet Sauvignon (Mendoza),Cabernet Sauvignon,Red,1,0,1,0,0,1,0,0,2013
Argentina,85,9,Other,San Huberto 2010 Cabernet Sauvignon-Syrah (Argentina),Cabernet Sauvignon-Syrah,Red,1,0,0,1,0,1,0,0,2010
Argentina,84,25,Mendoza Province,Black Box 2012 Malbec (Mendoza),Malbec,Red,1,0,0,1,0,1,0,0,2012
Australia,94,105,South Australia,Kilikanoon 2006 R Shiraz (Barossa Valley),Shiraz,Red,1,0,0,1,0,0,0,1,2006
Australia,89,108,South Australia,Elderton 2010 Ashmead Single Vineyard Cabernet Sauvignon (Barossa),Cabernet Sauvignon,Red,1,0,1,0,0,0,0,1,2010
Australia,87,10,South Australia,Rocland Estate 2005 Ass Kisser Fine Red Wine Red (South Australia),Rh??ne-style Red Blend,Red,1,0,0,1,0,0,0,1,2005
Australia,85,13,Australia Other,Woop Woop 2009 Chardonnay (South Eastern Australia),Chardonnay,White,0,1,1,0,0,0,0,1,2009
Australia,86,15,South Australia,Killibinbin 2013 Seduction Cabernet Sauvignon (Langhorne Creek),Cabernet Sauvignon,Red,1,0,1,0,0,0,0,1,2013
Austria,92,24,Kamptal,Schloss Gobelsburg 2015 Z??bing Riesling (Kamptal),Riesling,White,0,1,1,0,0,0,1,0,2015
Austria,89,33,Kamptal,Loimer 2005 Terrassen Pinot Noir (Kamptal),Pinot Noir,Red,1,0,1,0,0,0,1,0,2005
Austria,87,15,S?ådoststeiermark,Winkler-Hermaden 2007 Steierische Klassik Weissburgunder (S?ådoststeiermark),Weissburgunder,White,0,1,0,1,0,0,1,0,2007
Austria,92,36,Weinland ??sterreich,Weszeli 2016 Besse Fleur Riesling (Weinland ??sterreich),Riesling,White,0,1,1,0,0,0,1,0,2016
Austria,87,10,Nieder??sterreich,Forstreiter 2015 Grooner Gr?åner Veltliner (Nieder??sterreich),Gr?åner Veltliner,White,0,1,0,1,0,0,1,0,2015
Austria,88,28,Kremstal,Stadt Krems 2012 Gr?åner Veltliner (Kremstal),Gr?åner Veltliner,White,0,1,0,1,0,0,1,0,2012
Bulgaria,87,19,Thracian Valley,Ivo Varbanov 2013 Clare de Lune Chardonnay (Thracian Valley),Chardonnay,White,0,1,1,0,0,0,1,0,2013
Canada,93,25,Ontario,Cave Spring 2013 CSV Estate Bottled Riesling (Beamsville Bench),Riesling,White,0,1,1,0,1,0,0,0,2013
Canada,90,26,Ontario,Cave Spring 2014 CSV Estate Bottled Riesling (Beamsville Bench),Riesling,White,0,1,1,0,1,0,0,0,2014
Chile,92,60,CuricÍ_ Valley,Miguel Torres 2012 Manso de Velasco Cabernet Sauvignon (CuricÍ_ Valley),Cabernet Sauvignon,Red,1,0,1,0,0,1,0,0,2012
Chile,84,9,Maipo Valley,Undurraga 2002 Gew?årztraminer (Maipo Valley),Gew?årztraminer,White,0,1,0,1,0,1,0,0,2002
Chile,84,12,Maipo Valley,Tres Palacios 2011 Reserve Cabernet Sauvignon (Maipo Valley),Cabernet Sauvignon,Red,1,0,1,0,0,1,0,0,2011
Chile,90,20,Maipo Valley,Pargua 2007 Anka Pargua II Red (Maipo Valley),Red Blend,Red,1,0,1,0,0,1,0,0,2007
Chile,87,12,Maule Valley,San Pedro 2007 Castillo de Molina Reserva Shiraz (Maule Valley),Shiraz,Red,1,0,0,1,0,1,0,0,2007
Chile,87,28,Maipo Valley,Vi?_a el Principal 2009 Memorias Cabernet Sauvignon-Carmen??re (Maipo Valley),Cabernet Sauvignon-Carmen??re,Red,1,0,0,1,0,1,0,0,2009
Chile,87,9,Maipo Valley,Santa Alicia 2006 Reserve Cabernet Sauvignon (Maipo Valley),Cabernet Sauvignon,Red,1,0,1,0,0,1,0,0,2006
Chile,86,15,Maipo Valley,Santa Alicia 2011 Gran Reserva de Los Andes Estate Bottled Cabernet Sauvignon (Maipo Valley),Cabernet Sauvignon,Red,1,0,1,0,0,1,0,0,2011
Chile,82,20,Limar?? Valley,Tamaya 2007 Winemaker's Selection Single Vineyard Sauvignon Blanc (Limar?? Valley),Sauvignon Blanc,White,0,1,1,0,0,1,0,0,2007
Chile,83,8,Central Valley,Santa Rita 2009 120 Sauvignon Blanc (Central Valley),Sauvignon Blanc,White,0,1,1,0,0,1,0,0,2009
Chile,87,15,Casablanca Valley,Emiliana 2010 Novas Limited Selection Chardonnay (Casablanca Valley),Chardonnay,White,0,1,1,0,0,1,0,0,2010
Chile,84,12,Maule Valley,Balduzzi 2014 Reserva Cabernet Sauvignon (Maule Valley),Cabernet Sauvignon,Red,1,0,1,0,0,1,0,0,2014
Chile,85,12,Maipo Valley,Santa Alicia 2014 Reserva Espiritu de Los Andes Estate Bottled Malbec (Maipo Valley),Malbec,Red,1,0,0,1,0,1,0,0,2014
Chile,85,14,Colchagua Valley,Calcu 2010 Reserva Carmen??re (Colchagua Valley),Carmen??re,Red,1,0,0,1,0,1,0,0,2010
Chile,87,11,Maule Valley,Balduzzi 2016 Reserva Sauvignon Blanc (Maule Valley),Sauvignon Blanc,White,0,1,1,0,0,1,0,0,2016
